Date,Open,High,Low,Close,Adj Close,Volume
2016-05-02,74.029999,74.919998,71.940002,73.330002,65.079460,4673500
2016-05-09,72.070000,73.260002,70.220001,72.930000,64.724457,3389100
2016-05-16,73.349998,74.589996,70.019997,72.080002,63.970100,3467600
2016-05-23,71.919998,75.459999,71.570000,73.809998,65.505447,3056600
2016-05-30,74.239998,75.440002,73.330002,75.320000,67.211792,2806500
2016-06-06,75.370003,78.300003,75.330002,76.699997,68.443230,3290800
2016-06-13,76.459999,76.699997,74.510002,75.610001,67.470581,2224900
2016-06-20,76.690002,78.379997,73.800003,74.160004,66.176666,3503900
2016-06-27,73.360001,78.870003,72.000000,78.330002,69.897766,3468800
2016-07-04,78.080002,80.739998,76.470001,80.180000,71.548599,2526600
2016-07-11,80.120003,84.250000,79.980003,83.699997,74.689667,2277000
2016-07-18,83.339996,83.750000,75.260002,76.330002,68.113068,5322200
2016-07-25,76.250000,79.199997,75.010002,78.440002,69.995918,3530900
2016-08-01,78.269997,78.370003,76.139999,76.330002,68.113068,3600900
2016-08-08,76.480003,76.769997,73.300003,73.400002,65.498489,2590100
2016-08-15,73.550003,74.949997,72.360001,73.000000,65.510117,2269200
2016-08-22,72.360001,74.820000,71.830002,72.040001,64.648621,2052700
2016-08-29,71.910004,73.959999,70.940002,72.510002,65.070389,2167900
2016-09-05,73.019997,74.320000,70.239998,70.330002,63.114071,1830500
2016-09-12,69.540001,71.279999,67.660004,68.820000,61.758961,3153500
2016-09-19,69.239998,72.699997,68.930000,71.629997,64.280678,2190900
2016-09-26,71.199997,74.010002,70.709999,72.029999,64.639641,2567200
2016-10-03,72.010002,72.330002,69.019997,69.870003,62.701248,3059600
2016-10-10,69.870003,71.410004,67.720001,68.629997,61.588470,2000200
2016-10-17,68.889999,72.760002,65.099998,68.360001,61.346195,5586700
2016-10-24,70.260002,70.260002,66.629997,67.279999,60.376991,3815500
2016-10-31,67.580002,69.879997,66.860001,68.180000,61.184639,3394300
2016-11-07,69.349998,78.900002,68.379997,77.620003,69.656113,4390200
2016-11-14,78.739998,79.500000,76.279999,76.690002,68.821510,2800600
2016-11-21,77.379997,83.559998,76.419998,83.309998,75.164703,2814200
2016-11-28,83.120003,83.400002,79.519997,83.019997,74.903069,2983000
2016-12-05,84.000000,87.580002,83.620003,84.639999,76.364685,3487600
2016-12-12,84.660004,85.279999,80.879997,81.779999,73.784309,2807300
2016-12-19,81.290001,83.820000,80.480003,81.510002,73.540710,1805400
2016-12-26,82.089996,83.620003,79.489998,79.540001,71.763329,853600
2017-01-02,80.589996,83.970001,79.639999,80.330002,72.476082,1374400
2017-01-09,81.629997,83.930000,79.849998,81.349998,73.396355,2209300
2017-01-16,81.349998,82.110001,79.260002,80.089996,72.259544,1400900
2017-01-23,80.360001,82.180000,78.930000,81.680000,73.694084,2252700
2017-01-30,80.849998,81.760002,78.330002,81.570000,73.594856,2614700
2017-02-06,81.769997,84.610001,80.720001,83.440002,75.282028,2145900
2017-02-13,84.660004,88.580002,83.559998,86.540001,78.078941,2593400
2017-02-20,86.389999,87.690002,82.260002,84.080002,75.859451,2084100
2017-02-27,84.209999,87.779999,83.620003,84.620003,76.346649,2928800
2017-03-06,83.419998,84.190002,80.150002,80.260002,72.412918,2608300
2017-03-13,81.160004,85.239998,80.250000,82.360001,74.718956,3278000
2017-03-20,82.529999,82.559998,78.459999,78.809998,71.498306,2471800
2017-03-27,77.139999,80.769997,76.180000,80.019997,72.596046,2469400
2017-04-03,80.239998,81.510002,77.570000,79.540001,72.160583,2407700
2017-04-10,79.800003,79.889999,75.800003,75.870003,68.831078,1870200
2017-04-17,76.320000,77.230003,74.139999,76.940002,69.801819,2842400
2017-04-24,78.160004,82.279999,77.070000,78.820000,71.507378,3462200
2017-05-01,79.160004,80.059998,73.820000,75.360001,68.368393,2454700
2017-05-08,74.910004,75.599998,71.610001,72.139999,65.447128,3353500
2017-05-15,72.500000,73.709999,70.500000,71.980003,65.301979,2663700
2017-05-22,72.250000,74.949997,71.199997,72.839996,66.082176,3138300
2017-05-29,72.529999,74.870003,72.309998,74.360001,67.872620,2430700
2017-06-05,74.260002,76.050003,72.580002,75.519997,68.931412,2626000
2017-06-12,75.519997,78.000000,70.989998,72.440002,66.120132,3204000
2017-06-19,72.989998,73.860001,69.309998,71.430000,65.198235,3361300
2017-06-26,71.660004,74.559998,70.300003,72.809998,66.457848,2697700
2017-07-03,73.019997,74.059998,71.349998,72.529999,66.202271,1449400
2017-07-10,72.320000,74.529999,71.540001,73.529999,67.115021,2785100
2017-07-17,73.910004,75.699997,73.500000,75.089996,68.538925,2821700
2017-07-24,75.160004,76.610001,71.330002,71.750000,65.490326,3311300
2017-07-31,72.129997,72.930000,71.449997,72.480003,66.156631,2090700
2017-08-07,73.040001,74.019997,70.129997,70.239998,64.112045,1998600
2017-08-14,70.730003,71.760002,68.459999,69.309998,63.263195,1740100
2017-08-21,69.510002,71.779999,69.370003,70.879997,65.113968,1950000
2017-08-28,71.080002,73.650002,70.279999,73.360001,67.392242,1731000
2017-09-04,73.730003,75.199997,72.529999,74.000000,67.980164,1872700
2017-09-11,74.489998,74.839996,71.169998,72.449997,66.556267,2741600
2017-09-18,72.629997,76.099998,72.320000,74.349998,68.301697,2543800
2017-09-25,74.250000,76.980003,73.639999,76.169998,69.973633,2021300
2017-10-02,76.279999,78.320000,76.120003,76.309998,70.102249,1869500
2017-10-09,76.309998,77.480003,74.430000,76.529999,70.304352,1595800
2017-10-16,76.839996,77.209999,74.489998,77.120003,70.846352,1961400
2017-10-23,76.860001,79.699997,75.949997,78.250000,71.884453,2392900
2017-10-30,77.709999,79.989998,76.430000,77.400002,71.103584,2590100
2017-11-06,77.559998,77.900002,74.889999,75.559998,69.413254,1784200
2017-11-13,75.400002,76.449997,72.690002,74.360001,68.310905,2875500
2017-11-20,74.150002,76.989998,74.120003,75.809998,70.066772,1024100
2017-11-27,75.860001,79.730003,74.699997,78.570000,72.617699,2330400
2017-12-04,79.669998,83.320000,79.550003,83.070000,76.776779,2708700
2017-12-11,83.290001,84.410004,82.089996,82.709999,76.444038,2581300
2017-12-18,83.559998,86.449997,83.220001,86.320000,79.780556,1993400
2017-12-25,86.220001,87.330002,85.790001,85.790001,79.290718,1098300
2018-01-01,86.629997,89.250000,85.790001,88.449997,81.749191,1784200
2018-01-08,88.760002,91.239998,87.900002,90.449997,83.597672,2161200
2018-01-15,90.750000,92.180000,89.889999,90.910004,84.022835,1417100
2018-01-22,90.839996,92.639999,89.389999,91.699997,84.752968,1974200
2018-01-29,91.459999,92.150002,84.860001,85.029999,78.588280,1938500
2018-02-05,84.480003,86.709999,79.839996,82.980003,76.693588,2355600
2018-02-12,83.809998,95.720001,83.040001,94.570000,87.405556,3763100
2018-02-19,93.599998,95.970001,90.529999,92.290001,85.298294,1803500
2018-02-26,93.279999,94.089996,90.129997,92.809998,85.778885,3382700
2018-03-05,92.019997,94.870003,91.089996,92.620003,85.603302,2667100
